,mutual_information
SFRP4,0.4015858092094637
KCNIP4,0.399370409850436
PLCL1,0.3306563922009173
PAEP,0.2688859155941312
PCSK5,0.2603611217830917
LHFPL3,0.2403854334037514
ADAM12,0.2387240444566516
MMP11,0.233951664491546
ZBTB16,0.2320815080814355
ZNF704,0.221913940562954
PTCH1,0.2157122629997099
ROBO2,0.2074285555377266
CXCL14,0.2036592982245286
RORA,0.1943594379634792
FOXO1,0.1940907931598259
MTUS2,0.1936987411357877
PWRN1,0.1837788008301264
CCBE1,0.180098181178228
PAMR1,0.1755826560753806
NPAS3,0.1703484238768586
TIMP3,0.1630979048321448
JAZF1,0.159777934478142
LSAMP,0.1582670558170082
DPP6,0.1567211028307529
GPX3,0.1563531556705224
GALNT17,0.1558781183597211
TMEM196,0.1555778694569678
LAMB1,0.1554563805539972
PMEPA1,0.155364072861345
SDK2,0.1507940544616128
COL27A1,0.1502273644275042
TMEM120B,0.1493507387619086
ARL15,0.1477108428408198
SEMA5A,0.1467613023792835
LAMA2,0.1467261021034853
LTBP1,0.1451217680328884
RORB,0.1439926047469728
EVA1C,0.142458158264608
GNLY,0.1423623668768106
ANO4,0.1417745387723581
MAP3K5,0.1407073478507787
IGFBP2,0.1394355505430069
PHF21B,0.139360059824527
NLGN1,0.138481910653645
ASIC2,0.1378175571846798
IL15,0.1367056838083482
MT1G,0.1357019086837025
SFRP1,0.1340735945568782
CFD,0.1317543279054596
GALNT13,0.1306607028103714
SLIT3,0.1292235530811591
KCNIP1,0.1288349598253941
TMEM132C,0.1275242980645154
PPP2R2C,0.1274348737870934
MT-ND1,0.1263139084025772
DIO2,0.1262200995142079
SERPING1,0.1261091484034739
ADAMTS19,0.1259755701767289
AC024230.1,0.1257520416835591
PIP5K1B,0.1242041609758568
FN1,0.1241918155102013
TGM2,0.1238312396056269
LINC01320,0.1220568420773551
AC092691.1,0.1220222843538429
MT-ND2,0.1217509385372124
LINGO2,0.121526428059782
H19,0.1209622578186873
MT-ND4,0.1197538665138648
S100A6,0.1194843843030386
CASC15,0.1192169503033473
FREM1,0.1191501135976857
BTBD11,0.1188132930807817
RAI14,0.117081674901351
MT-ND3,0.1166664569336326
CACNB2,0.1148099371472883
CACNA1D,0.113082894215871
ITGB8,0.112584430185735
AFF3,0.1122138001057035
PTGDS,0.1118632004526141
SGIP1,0.1118104883941617
C1orf21,0.1114473526722648
AC005062.1,0.1097830584282051
MT-ATP8,0.1066433600368008
C1R,0.1039539056684817
MME,0.1035729100873998
INSR,0.1024576709037208
KCNIP4-IT1,0.1024194957956137
SYNPO2,0.1019275380210271
NNMT,0.1018378830799342
CPM,0.1010142091569195
MMP16,0.100777365366909
ALDH1A3,0.100665585012976
APOE,0.1002081739040066
